Date,Product_ID,Product_Name,Sales,Weekday,Month,Year,Day_of_Year
2023-02-17,1,Smartphone,76,Friday,February,2023,48
2023-02-18,1,Smartphone,45,Saturday,February,2023,49
2023-02-19,1,Smartphone,60,Sunday,February,2023,50
2023-02-20,1,Smartphone,47,Monday,February,2023,51
2023-02-21,1,Smartphone,91,Tuesday,February,2023,52
2023-02-22,1,Smartphone,15,Wednesday,February,2023,53
2023-02-23,1,Smartphone,32,Thursday,February,2023,54
2023-02-24,1,Smartphone,70,Friday,February,2023,55
2023-02-25,1,Smartphone,96,Saturday,February,2023,56
2023-02-26,1,Smartphone,87,Sunday,February,2023,57
2023-02-27,1,Smartphone,63,Monday,February,2023,58
2023-02-28,1,Smartphone,43,Tuesday,February,2023,59
2023-03-01,1,Smartphone,50,Wednesday,March,2023,60
2023-03-02,1,Smartphone,8,Thursday,March,2023,61
2023-03-03,1,Smartphone,25,Friday,March,2023,62
2023-03-04,1,Smartphone,48,Saturday,March,2023,63
2023-03-05,1,Smartphone,66,Sunday,March,2023,64
2023-03-06,1,Smartphone,85,Monday,March,2023,65
2023-03-07,1,Smartphone,47,Tuesday,March,2023,66
2023-03-08,1,Smartphone,96,Wednesday,March,2023,67
2023-03-09,1,Smartphone,70,Thursday,March,2023,68
2023-03-10,1,Smartphone,74,Friday,March,2023,69
2023-03-11,1,Smartphone,76,Saturday,March,2023,70
2023-03-12,1,Smartphone,9,Sunday,March,2023,71
2023-03-13,1,Smartphone,82,Monday,March,2023,72
2023-03-14,1,Smartphone,7,Tuesday,March,2023,73
2023-03-15,1,Smartphone,70,Wednesday,March,2023,74
2023-03-16,1,Smartphone,32,Thursday,March,2023,75
2023-03-17,1,Smartphone,89,Friday,March,2023,76
2023-03-18,1,Smartphone,4,Saturday,March,2023,77
2023-03-19,1,Smartphone,20,Sunday,March,2023,78
2023-03-20,1,Smartphone,11,Monday,March,2023,79
2023-03-21,1,Smartphone,1,Tuesday,March,2023,80
2023-03-22,1,Smartphone,98,Wednesday,March,2023,81
2023-03-23,1,Smartphone,77,Thursday,March,2023,82
2023-03-24,1,Smartphone,67,Friday,March,2023,83
2023-03-25,1,Smartphone,46,Saturday,March,2023,84
2023-03-26,1,Smartphone,52,Sunday,March,2023,85
2023-03-27,1,Smartphone,48,Monday,March,2023,86
2023-03-28,1,Smartphone,39,Tuesday,March,2023,87
2023-03-29,1,Smartphone,12,Wednesday,March,2023,88
2023-03-30,1,Smartphone,75,Thursday,March,2023,89
2023-03-31,1,Smartphone,7,Friday,March,2023,90
2023-04-01,1,Smartphone,45,Saturday,April,2023,91
2023-04-02,1,Smartphone,16,Sunday,April,2023,92
2023-04-03,1,Smartphone,83,Monday,April,2023,93
2023-04-04,1,Smartphone,86,Tuesday,April,2023,94
2023-04-05,1,Smartphone,40,Wednesday,April,2023,95
2023-04-06,1,Smartphone,84,Thursday,April,2023,96
2023-04-07,1,Smartphone,62,Friday,April,2023,97
2023-04-08,1,Smartphone,91,Saturday,April,2023,98
2023-04-09,1,Smartphone,53,Sunday,April,2023,99
2023-04-10,1,Smartphone,34,Monday,April,2023,100
2023-04-11,1,Smartphone,32,Tuesday,April,2023,101
2023-04-12,1,Smartphone,32,Wednesday,April,2023,102
2023-04-13,1,Smartphone,7,Thursday,April,2023,103
2023-04-14,1,Smartphone,10,Friday,April,2023,104
2023-04-15,1,Smartphone,50,Saturday,April,2023,105
2023-04-16,1,Smartphone,43,Sunday,April,2023,106
2023-04-17,1,Smartphone,30,Monday,April,2023,107
2023-04-18,1,Smartphone,78,Tuesday,April,2023,108
2023-04-19,1,Smartphone,69,Wednesday,April,2023,109
2023-04-20,1,Smartphone,14,Thursday,April,2023,110
2023-04-21,1,Smartphone,55,Friday,April,2023,111
2023-04-22,1,Smartphone,62,Saturday,April,2023,112
2023-04-23,1,Smartphone,50,Sunday,April,2023,113
2023-04-24,1,Smartphone,87,Monday,April,2023,114
2023-04-25,1,Smartphone,20,Tuesday,April,2023,115
2023-04-26,1,Smartphone,79,Wednesday,April,2023,116
2023-04-27,1,Smartphone,70,Thursday,April,2023,117
2023-04-28,1,Smartphone,20,Friday,April,2023,118
2023-04-29,1,Smartphone,8,Saturday,April,2023,119
2023-04-30,1,Smartphone,81,Sunday,April,2023,120
2023-05-01,1,Smartphone,61,Monday,May,2023,121
2023-05-02,1,Smartphone,75,Tuesday,May,2023,122
2023-05-03,1,Smartphone,54,Wednesday,May,2023,123
2023-05-04,1,Smartphone,37,Thursday,May,2023,124
2023-05-05,1,Smartphone,80,Friday,May,2023,125
2023-05-06,1,Smartphone,24,Saturday,May,2023,126
2023-05-07,1,Smartphone,86,Sunday,May,2023,127
2023-05-08,1,Smartphone,41,Monday,May,2023,128
2023-05-09,1,Smartphone,32,Tuesday,May,2023,129
2023-05-10,1,Smartphone,13,Wednesday,May,2023,130
2023-05-11,1,Smartphone,61,Thursday,May,2023,131
2023-05-12,1,Smartphone,18,Friday,May,2023,132
2023-05-13,1,Smartphone,96,Saturday,May,2023,133
2023-05-14,1,Smartphone,52,Sunday,May,2023,134
2023-05-15,1,Smartphone,98,Monday,May,2023,135
2023-05-16,1,Smartphone,82,Tuesday,May,2023,136
2023-05-17,1,Smartphone,90,Wednesday,May,2023,137
2023-05-18,1,Smartphone,84,Thursday,May,2023,138
2023-05-19,1,Smartphone,4,Friday,May,2023,139
2023-05-20,1,Smartphone,93,Saturday,May,2023,140
2023-05-21,1,Smartphone,12,Sunday,May,2023,141
2023-05-22,1,Smartphone,50,Monday,May,2023,142
2023-05-23,1,Smartphone,62,Tuesday,May,2023,143
2023-05-24,1,Smartphone,69,Wednesday,May,2023,144
2023-05-25,1,Smartphone,73,Thursday,May,2023,145
2023-05-26,1,Smartphone,28,Friday,May,2023,146
2023-05-27,1,Smartphone,47,Saturday,May,2023,147
2023-05-28,1,Smartphone,69,Sunday,May,2023,148
2023-05-29,1,Smartphone,73,Monday,May,2023,149
2023-05-30,1,Smartphone,53,Tuesday,May,2023,150
2023-05-31,1,Smartphone,96,Wednesday,May,2023,151
2023-06-01,1,Smartphone,48,Thursday,June,2023,152
2023-06-02,1,Smartphone,41,Friday,June,2023,153
2023-06-03,1,Smartphone,27,Saturday,June,2023,154
2023-06-04,1,Smartphone,46,Sunday,June,2023,155
2023-06-05,1,Smartphone,83,Monday,June,2023,156
2023-06-06,1,Smartphone,50,Tuesday,June,2023,157
2023-06-07,1,Smartphone,94,Wednesday,June,2023,158
2023-06-08,1,Smartphone,23,Thursday,June,2023,159
2023-06-09,1,Smartphone,45,Friday,June,2023,160
2023-06-10,1,Smartphone,24,Saturday,June,2023,161
2023-06-11,1,Smartphone,88,Sunday,June,2023,162
2023-06-12,1,Smartphone,73,Monday,June,2023,163
2023-06-13,1,Smartphone,25,Tuesday,June,2023,164
2023-06-14,1,Smartphone,28,Wednesday,June,2023,165
2023-06-15,1,Smartphone,26,Thursday,June,2023,166
2023-06-16,1,Smartphone,86,Friday,June,2023,167
2023-06-17,1,Smartphone,16,Saturday,June,2023,168
2023-06-18,1,Smartphone,94,Sunday,June,2023,169
2023-06-19,1,Smartphone,3,Monday,June,2023,170
2023-06-20,1,Smartphone,75,Tuesday,June,2023,171
2023-06-21,1,Smartphone,63,Wednesday,June,2023,172
2023-06-22,1,Smartphone,84,Thursday,June,2023,173
2023-06-23,1,Smartphone,57,Friday,June,2023,174
2023-06-24,1,Smartphone,79,Saturday,June,2023,175
2023-06-25,1,Smartphone,45,Sunday,June,2023,176
2023-06-26,1,Smartphone,92,Monday,June,2023,177
2023-06-27,1,Smartphone,65,Tuesday,June,2023,178
2023-06-28,1,Smartphone,98,Wednesday,June,2023,179
2023-06-29,1,Smartphone,10,Thursday,June,2023,180
2023-06-30,1,Smartphone,19,Friday,June,2023,181
2023-07-01,1,Smartphone,20,Saturday,July,2023,182
2023-07-02,1,Smartphone,93,Sunday,July,2023,183
2023-07-03,1,Smartphone,4,Monday,July,2023,184
2023-07-04,1,Smartphone,60,Tuesday,July,2023,185
2023-07-05,1,Smartphone,3,Wednesday,July,2023,186
2023-07-06,1,Smartphone,63,Thursday,July,2023,187
2023-07-07,1,Smartphone,82,Friday,July,2023,188
2023-07-08,1,Smartphone,53,Saturday,July,2023,189
2023-07-09,1,Smartphone,88,Sunday,July,2023,190
2023-07-10,1,Smartphone,18,Monday,July,2023,191
2023-07-11,1,Smartphone,75,Tuesday,July,2023,192
2023-07-12,1,Smartphone,38,Wednesday,July,2023,193
2023-07-13,1,Smartphone,96,Thursday,July,2023,194
2023-07-14,1,Smartphone,3,Friday,July,2023,195
2023-07-15,1,Smartphone,66,Saturday,July,2023,196
2023-07-16,1,Smartphone,24,Sunday,July,2023,197
2023-07-17,1,Smartphone,65,Monday,July,2023,198
2023-07-18,1,Smartphone,41,Tuesday,July,2023,199
2023-07-19,1,Smartphone,81,Wednesday,July,2023,200
2023-07-20,1,Smartphone,13,Thursday,July,2023,201
2023-07-21,1,Smartphone,35,Friday,July,2023,202
2023-07-22,1,Smartphone,88,Saturday,July,2023,203
2023-07-23,1,Smartphone,33,Sunday,July,2023,204
2023-07-24,1,Smartphone,50,Monday,July,2023,205
2023-07-25,1,Smartphone,78,Tuesday,July,2023,206
2023-07-26,1,Smartphone,95,Wednesday,July,2023,207
2023-07-27,1,Smartphone,70,Thursday,July,2023,208
2023-07-28,1,Smartphone,57,Friday,July,2023,209
2023-07-29,1,Smartphone,48,Saturday,July,2023,210
2023-07-30,1,Smartphone,71,Sunday,July,2023,211
2023-07-31,1,Smartphone,8,Monday,July,2023,212
2023-08-01,1,Smartphone,52,Tuesday,August,2023,213
2023-08-02,1,Smartphone,79,Wednesday,August,2023,214
2023-08-03,1,Smartphone,42,Thursday,August,2023,215
2023-08-04,1,Smartphone,89,Friday,August,2023,216
2023-08-05,1,Smartphone,39,Saturday,August,2023,217
2023-08-06,1,Smartphone,9,Sunday,August,2023,218
2023-08-07,1,Smartphone,75,Monday,August,2023,219
2023-08-08,1,Smartphone,88,Tuesday,August,2023,220
2023-08-09,1,Smartphone,42,Wednesday,August,2023,221
2023-08-10,1,Smartphone,52,Thursday,August,2023,222
2023-08-11,1,Smartphone,36,Friday,August,2023,223
2023-08-12,1,Smartphone,24,Saturday,August,2023,224
2023-08-13,1,Smartphone,19,Sunday,August,2023,225
2023-08-14,1,Smartphone,30,Monday,August,2023,226
2023-08-15,1,Smartphone,98,Tuesday,August,2023,227
2023-08-16,1,Smartphone,12,Wednesday,August,2023,228
2023-08-17,1,Smartphone,70,Thursday,August,2023,229
2023-08-18,1,Smartphone,40,Friday,August,2023,230
2023-08-19,1,Smartphone,67,Saturday,August,2023,231
2023-08-20,1,Smartphone,35,Sunday,August,2023,232
2023-08-21,1,Smartphone,4,Monday,August,2023,233
2023-08-22,1,Smartphone,94,Tuesday,August,2023,234
2023-08-23,1,Smartphone,31,Wednesday,August,2023,235
2023-08-24,1,Smartphone,91,Thursday,August,2023,236
2023-08-25,1,Smartphone,12,Friday,August,2023,237
2023-08-26,1,Smartphone,71,Saturday,August,2023,238
2023-08-27,1,Smartphone,87,Sunday,August,2023,239
2023-08-28,1,Smartphone,57,Monday,August,2023,240
2023-08-29,1,Smartphone,29,Tuesday,August,2023,241
2023-08-30,1,Smartphone,40,Wednesday,August,2023,242
2023-08-31,1,Smartphone,4,Thursday,August,2023,243
2023-09-01,1,Smartphone,17,Friday,September,2023,244
2023-09-02,1,Smartphone,67,Saturday,September,2023,245
2023-09-03,1,Smartphone,86,Sunday,September,2023,246
2023-09-04,1,Smartphone,13,Monday,September,2023,247
2023-09-05,1,Smartphone,5,Tuesday,September,2023,248
2023-09-06,1,Smartphone,70,Wednesday,September,2023,249
2023-09-07,1,Smartphone,15,Thursday,September,2023,250
2023-09-08,1,Smartphone,27,Friday,September,2023,251
2023-09-09,1,Smartphone,70,Saturday,September,2023,252
2023-09-10,1,Smartphone,24,Sunday,September,2023,253
2023-09-11,1,Smartphone,5,Monday,September,2023,254
2023-09-12,1,Smartphone,12,Tuesday,September,2023,255
2023-09-13,1,Smartphone,44,Wednesday,September,2023,256
2023-09-14,1,Smartphone,96,Thursday,September,2023,257
2023-09-15,1,Smartphone,45,Friday,September,2023,258
2023-09-16,1,Smartphone,16,Saturday,September,2023,259
2023-09-17,1,Smartphone,90,Sunday,September,2023,260
2023-09-18,1,Smartphone,41,Monday,September,2023,261
2023-09-19,1,Smartphone,34,Tuesday,September,2023,262
2023-09-20,1,Smartphone,22,Wednesday,September,2023,263
2023-09-21,1,Smartphone,23,Thursday,September,2023,264
2023-09-22,1,Smartphone,33,Friday,September,2023,265
2023-09-23,1,Smartphone,90,Saturday,September,2023,266
2023-09-24,1,Smartphone,34,Sunday,September,2023,267
2023-09-25,1,Smartphone,26,Monday,September,2023,268
2023-09-26,1,Smartphone,36,Tuesday,September,2023,269
2023-09-27,1,Smartphone,24,Wednesday,September,2023,270
2023-09-28,1,Smartphone,66,Thursday,September,2023,271
2023-09-29,1,Smartphone,37,Friday,September,2023,272
2023-09-30,1,Smartphone,20,Saturday,September,2023,273
2023-10-01,1,Smartphone,59,Sunday,October,2023,274
2023-10-02,1,Smartphone,76,Monday,October,2023,275
2023-10-03,1,Smartphone,43,Tuesday,October,2023,276
2023-10-04,1,Smartphone,41,Wednesday,October,2023,277
2023-10-05,1,Smartphone,8,Thursday,October,2023,278
2023-10-06,1,Smartphone,65,Friday,October,2023,279
2023-10-07,1,Smartphone,56,Saturday,October,2023,280
2023-10-08,1,Smartphone,75,Sunday,October,2023,281
2023-10-09,1,Smartphone,50,Monday,October,2023,282
2023-10-10,1,Smartphone,60,Tuesday,October,2023,283
2023-10-11,1,Smartphone,98,Wednesday,October,2023,284
2023-10-12,1,Smartphone,32,Thursday,October,2023,285
2023-10-13,1,Smartphone,37,Friday,October,2023,286
2023-10-14,1,Smartphone,8,Saturday,October,2023,287
2023-10-15,1,Smartphone,26,Sunday,October,2023,288
2023-10-16,1,Smartphone,38,Monday,October,2023,289
2023-10-17,1,Smartphone,80,Tuesday,October,2023,290
2023-10-18,1,Smartphone,35,Wednesday,October,2023,291
2023-10-19,1,Smartphone,21,Thursday,October,2023,292
2023-10-20,1,Smartphone,17,Friday,October,2023,293
2023-10-21,1,Smartphone,16,Saturday,October,2023,294
2023-10-22,1,Smartphone,18,Sunday,October,2023,295
2023-10-23,1,Smartphone,60,Monday,October,2023,296
2023-10-24,1,Smartphone,8,Tuesday,October,2023,297
2023-10-25,1,Smartphone,53,Wednesday,October,2023,298
2023-10-26,1,Smartphone,9,Thursday,October,2023,299
2023-10-27,1,Smartphone,66,Friday,October,2023,300
2023-10-28,1,Smartphone,57,Saturday,October,2023,301
2023-10-29,1,Smartphone,86,Sunday,October,2023,302
2023-10-30,1,Smartphone,55,Monday,October,2023,303
2023-10-31,1,Smartphone,77,Tuesday,October,2023,304
2023-11-01,1,Smartphone,100,Wednesday,November,2023,305
2023-11-02,1,Smartphone,82,Thursday,November,2023,306
2023-11-03,1,Smartphone,59,Friday,November,2023,307
2023-11-04,1,Smartphone,21,Saturday,November,2023,308
2023-11-05,1,Smartphone,30,Sunday,November,2023,309
2023-11-06,1,Smartphone,36,Monday,November,2023,310
2023-11-07,1,Smartphone,34,Tuesday,November,2023,311
2023-11-08,1,Smartphone,86,Wednesday,November,2023,312
2023-11-09,1,Smartphone,81,Thursday,November,2023,313
2023-11-10,1,Smartphone,24,Friday,November,2023,314
2023-11-11,1,Smartphone,69,Saturday,November,2023,315
2023-11-12,1,Smartphone,36,Sunday,November,2023,316
2023-11-13,1,Smartphone,99,Monday,November,2023,317
2023-11-14,1,Smartphone,100,Tuesday,November,2023,318
2023-11-15,1,Smartphone,89,Wednesday,November,2023,319
2023-11-16,1,Smartphone,94,Thursday,November,2023,320
2023-11-17,1,Smartphone,37,Friday,November,2023,321
2023-11-18,1,Smartphone,95,Saturday,November,2023,322
2023-11-19,1,Smartphone,1,Sunday,November,2023,323
2023-11-20,1,Smartphone,27,Monday,November,2023,324
2023-11-21,1,Smartphone,79,Tuesday,November,2023,325
2023-11-22,1,Smartphone,21,Wednesday,November,2023,326
2023-11-23,1,Smartphone,54,Thursday,November,2023,327
2023-11-24,1,Smartphone,95,Friday,November,2023,328
2023-11-25,1,Smartphone,39,Saturday,November,2023,329
2023-11-26,1,Smartphone,86,Sunday,November,2023,330
2023-11-27,1,Smartphone,61,Monday,November,2023,331
2023-11-28,1,Smartphone,4,Tuesday,November,2023,332
2023-11-29,1,Smartphone,81,Wednesday,November,2023,333
2023-11-30,1,Smartphone,4,Thursday,November,2023,334
2023-12-01,1,Smartphone,77,Friday,December,2023,335
2023-12-02,1,Smartphone,5,Saturday,December,2023,336
2023-12-03,1,Smartphone,24,Sunday,December,2023,337
2023-12-04,1,Smartphone,73,Monday,December,2023,338
2023-12-05,1,Smartphone,65,Tuesday,December,2023,339
2023-12-06,1,Smartphone,72,Wednesday,December,2023,340
2023-12-07,1,Smartphone,76,Thursday,December,2023,341
2023-12-08,1,Smartphone,70,Friday,December,2023,342
2023-12-09,1,Smartphone,100,Saturday,December,2023,343
2023-12-10,1,Smartphone,39,Sunday,December,2023,344
2023-12-11,1,Smartphone,98,Monday,December,2023,345
2023-12-12,1,Smartphone,69,Tuesday,December,2023,346
2023-12-13,1,Smartphone,53,Wednesday,December,2023,347
2023-12-14,1,Smartphone,92,Thursday,December,2023,348
2023-12-15,1,Smartphone,72,Friday,December,2023,349
2023-12-16,1,Smartphone,91,Saturday,December,2023,350
2023-12-17,1,Smartphone,4,Sunday,December,2023,351
2023-12-18,1,Smartphone,51,Monday,December,2023,352
2023-12-19,1,Smartphone,36,Tuesday,December,2023,353
2023-12-20,1,Smartphone,99,Wednesday,December,2023,354
2023-12-21,1,Smartphone,73,Thursday,December,2023,355
2023-12-22,1,Smartphone,15,Friday,December,2023,356
2023-12-23,1,Smartphone,89,Saturday,December,2023,357
2023-12-24,1,Smartphone,92,Sunday,December,2023,358
2023-12-25,1,Smartphone,49,Monday,December,2023,359
2023-12-26,1,Smartphone,77,Tuesday,December,2023,360
2023-12-27,1,Smartphone,43,Wednesday,December,2023,361
2023-12-28,1,Smartphone,64,Thursday,December,2023,362
2023-12-29,1,Smartphone,92,Friday,December,2023,363
2023-12-30,1,Smartphone,62,Saturday,December,2023,364
2023-12-31,1,Smartphone,57,Sunday,December,2023,365
2023-01-01,2,Laptop,58,Sunday,January,2023,1
2023-01-02,2,Laptop,75,Monday,January,2023,2
2023-01-03,2,Laptop,96,Tuesday,January,2023,3
2023-01-04,2,Laptop,37,Wednesday,January,2023,4
2023-01-05,2,Laptop,65,Thursday,January,2023,5
2023-01-06,2,Laptop,58,Friday,January,2023,6
2023-01-07,2,Laptop,34,Saturday,January,2023,7
2023-01-08,2,Laptop,19,Sunday,January,2023,8
2023-01-09,2,Laptop,65,Monday,January,2023,9
2023-01-10,2,Laptop,82,Tuesday,January,2023,10
2023-01-11,2,Laptop,1,Wednesday,January,2023,11
2023-01-12,2,Laptop,19,Thursday,January,2023,12
2023-01-13,2,Laptop,29,Friday,January,2023,13
2023-01-14,2,Laptop,86,Saturday,January,2023,14
2023-01-15,2,Laptop,59,Sunday,January,2023,15
2023-01-16,2,Laptop,12,Monday,January,2023,16
2023-01-17,2,Laptop,31,Tuesday,January,2023,17
2023-01-18,2,Laptop,61,Wednesday,January,2023,18
2023-01-19,2,Laptop,31,Thursday,January,2023,19
2023-01-20,2,Laptop,21,Friday,January,2023,20
2023-01-21,2,Laptop,25,Saturday,January,2023,21
2023-01-22,2,Laptop,98,Sunday,January,2023,22
2023-01-23,2,Laptop,10,Monday,January,2023,23
2023-01-24,2,Laptop,1,Tuesday,January,2023,24
2023-01-25,2,Laptop,41,Wednesday,January,2023,25
2023-01-26,2,Laptop,34,Thursday,January,2023,26
2023-01-27,2,Laptop,29,Friday,January,2023,27
2023-01-28,2,Laptop,45,Saturday,January,2023,28
2023-01-29,2,Laptop,51,Sunday,January,2023,29
2023-01-30,2,Laptop,36,Monday,January,2023,30
2023-01-31,2,Laptop,56,Tuesday,January,2023,31
2023-02-01,2,Laptop,79,Wednesday,February,2023,32
2023-02-02,2,Laptop,9,Thursday,February,2023,33
2023-02-03,2,Laptop,14,Friday,February,2023,34
2023-02-04,2,Laptop,30,Saturday,February,2023,35
2023-02-05,2,Laptop,7,Sunday,February,2023,36
2023-02-06,2,Laptop,8,Monday,February,2023,37
2023-02-07,2,Laptop,38,Tuesday,February,2023,38
2023-02-08,2,Laptop,76,Wednesday,February,2023,39
2023-02-09,2,Laptop,81,Thursday,February,2023,40
2023-02-10,2,Laptop,61,Friday,February,2023,41
2023-02-11,2,Laptop,97,Saturday,February,2023,42
2023-02-12,2,Laptop,58,Sunday,February,2023,43
2023-02-13,2,Laptop,52,Monday,February,2023,44
2023-02-14,2,Laptop,85,Tuesday,February,2023,45
2023-02-15,2,Laptop,86,Wednesday,February,2023,46
2023-02-16,2,Laptop,81,Thursday,February,2023,47
2023-02-17,2,Laptop,28,Friday,February,2023,48
2023-02-18,2,Laptop,58,Saturday,February,2023,49
2023-02-19,2,Laptop,95,Sunday,February,2023,50
2023-02-20,2,Laptop,92,Monday,February,2023,51
2023-02-21,2,Laptop,75,Tuesday,February,2023,52
2023-02-22,2,Laptop,34,Wednesday,February,2023,53
2023-02-23,2,Laptop,14,Thursday,February,2023,54
2023-02-24,2,Laptop,46,Friday,February,2023,55
2023-02-25,2,Laptop,6,Saturday,February,2023,56
2023-02-26,2,Laptop,46,Sunday,February,2023,57
2023-02-27,2,Laptop,86,Monday,February,2023,58
2023-02-28,2,Laptop,19,Tuesday,February,2023,59
2023-03-01,2,Laptop,8,Wednesday,March,2023,60
2023-03-02,2,Laptop,22,Thursday,March,2023,61
2023-03-03,2,Laptop,76,Friday,March,2023,62
2023-03-04,2,Laptop,42,Saturday,March,2023,63
2023-03-05,2,Laptop,13,Sunday,March,2023,64
2023-03-06,2,Laptop,47,Monday,March,2023,65
2023-03-07,2,Laptop,83,Tuesday,March,2023,66
2023-03-08,2,Laptop,97,Wednesday,March,2023,67
2023-03-09,2,Laptop,100,Thursday,March,2023,68
2023-03-10,2,Laptop,25,Friday,March,2023,69
2023-03-11,2,Laptop,11,Saturday,March,2023,70
2023-03-12,2,Laptop,23,Sunday,March,2023,71
2023-03-13,2,Laptop,35,Monday,March,2023,72
2023-03-14,2,Laptop,43,Tuesday,March,2023,73
2023-03-15,2,Laptop,39,Wednesday,March,2023,74
2023-03-16,2,Laptop,86,Thursday,March,2023,75
2023-03-17,2,Laptop,16,Friday,March,2023,76
2023-03-18,2,Laptop,70,Saturday,March,2023,77
2023-03-19,2,Laptop,51,Sunday,March,2023,78
2023-03-20,2,Laptop,13,Monday,March,2023,79
2023-03-21,2,Laptop,77,Tuesday,March,2023,80
2023-03-22,2,Laptop,9,Wednesday,March,2023,81
2023-03-23,2,Laptop,12,Thursday,March,2023,82
2023-03-24,2,Laptop,17,Friday,March,2023,83
2023-03-25,2,Laptop,63,Saturday,March,2023,84
2023-03-26,2,Laptop,27,Sunday,March,2023,85
2023-03-27,2,Laptop,39,Monday,March,2023,86
2023-03-28,2,Laptop,20,Tuesday,March,2023,87
2023-03-29,2,Laptop,22,Wednesday,March,2023,88
2023-03-30,2,Laptop,20,Thursday,March,2023,89
2023-03-31,2,Laptop,92,Friday,March,2023,90
2023-04-01,2,Laptop,97,Saturday,April,2023,91
2023-04-02,2,Laptop,86,Sunday,April,2023,92
2023-04-03,2,Laptop,92,Monday,April,2023,93
2023-04-04,2,Laptop,57,Tuesday,April,2023,94
2023-04-05,2,Laptop,36,Wednesday,April,2023,95
2023-04-06,2,Laptop,77,Thursday,April,2023,96
2023-04-07,2,Laptop,44,Friday,April,2023,97
2023-04-08,2,Laptop,12,Saturday,April,2023,98
2023-04-09,2,Laptop,90,Sunday,April,2023,99
2023-04-10,2,Laptop,1,Monday,April,2023,100
2023-04-11,2,Laptop,83,Tuesday,April,2023,101
2023-04-12,2,Laptop,59,Wednesday,April,2023,102
2023-04-13,2,Laptop,67,Thursday,April,2023,103
2023-04-14,2,Laptop,19,Friday,April,2023,104
2023-04-15,2,Laptop,96,Saturday,April,2023,105
2023-04-16,2,Laptop,25,Sunday,April,2023,106
2023-04-17,2,Laptop,52,Monday,April,2023,107
2023-04-18,2,Laptop,24,Tuesday,April,2023,108
2023-04-19,2,Laptop,95,Wednesday,April,2023,109
2023-04-20,2,Laptop,34,Thursday,April,2023,110
2023-04-21,2,Laptop,38,Friday,April,2023,111
2023-04-22,2,Laptop,12,Saturday,April,2023,112
2023-04-23,2,Laptop,73,Sunday,April,2023,113
2023-04-24,2,Laptop,10,Monday,April,2023,114
2023-04-25,2,Laptop,41,Tuesday,April,2023,115
2023-04-26,2,Laptop,15,Wednesday,April,2023,116
2023-04-27,2,Laptop,67,Thursday,April,2023,117
2023-04-28,2,Laptop,97,Friday,April,2023,118
2023-04-29,2,Laptop,29,Saturday,April,2023,119
